index,name,href,location,auth
0,A G Josh,https://www.rekhta.org/poets/a-g-josh,Lahore,a-g-josh
1,A. D. Azhar,https://www.rekhta.org/poets/a-d-azhar,,a-d-azhar
2,A. Hameed,https://www.rekhta.org/authors/a-hameed,Lahore,a-hameed
3,A. Khayyam,https://www.rekhta.org/authors/a-khayyam-1,Karachi,a-khayyam-1
4,A. S Bukhari,https://www.rekhta.org/authors/a-s-bukhari,,a-s-bukhari
5,A.D.Rahi,https://www.rekhta.org/poets/adrahi,,adrahi
6,A.R Sahil 'Aleeg',https://www.rekhta.org/poets/ar-sahil-aleeg,Uttar pradesh,ar-sahil-aleeg
7,Aabid Adeeb,https://www.rekhta.org/poets/aabid-adeeb,Udaipur,aabid-adeeb
8,Aabid Jafri,https://www.rekhta.org/poets/aabid-jafri,,aabid-jafri
9,aabid umar,https://www.rekhta.org/poets/aabid-umar,Kasur,aabid-umar
10,Aabida Urooj,https://www.rekhta.org/poets/aabida-urooj,,aabida-urooj
11,Aabidullah Ghazi,https://www.rekhta.org/poets/aabidullah-ghazi,Chicago,aabidullah-ghazi
12,Aadarsh Dubey,https://www.rekhta.org/poets/aadarsh-dubey,Sagar,aadarsh-dubey
13,Aadil Aseer Dehlvi,https://www.rekhta.org/poets/aadil-aseer-dehlvi,Delhi,aadil-aseer-dehlvi
14,Aadil Farhat,https://www.rekhta.org/poets/aadil-farhat,Jammu and Kashmir,aadil-farhat
15,Aadil Rahi,https://www.rekhta.org/poets/aadil-rahi,yavatmal,aadil-rahi
16,Aadil Rasheed,https://www.rekhta.org/poets/aadil-rasheed,Delhi,aadil-rasheed
17,Aadil Raza Mansoori,https://www.rekhta.org/poets/aadil-raza-mansoori,Jaipur,aadil-raza-mansoori
18,Aafaque Siddiqui,https://www.rekhta.org/poets/aafaque-siddiqui,Karachi,aafaque-siddiqui
19,Aaftab Lakhnvi,https://www.rekhta.org/poets/aaftab-lakhnvi,,aaftab-lakhnvi
